number	category	brand	ΥΛΙΚΟ	ΧΡΩΜΑ	ΔΙΑΣΤΑΣΕΙΣ	ΣΥΣΚΕΥΑΣΙΑ ΔΩΡΟΥ	info gr	info en	warranty	price	discount	stock	hidden
COB02	JEWELLERY>MENS>BRACELETS	Jos Von Arx	leather, stainless steel	brown		yes	Το μήκος προσαρμόζεται χάρη στο ρυθμιζόμενο μαγνητικό κούμπωμα. Συμπεριλαμβάνεται το ειδικό κατσαβιδάκι για την προσαρμογή.	Features a flexible magnetic clip to resize the bracelet. Special mini screwdriver for adjusting is included.	1 year	49		1	
INB04	JEWELLERY>MENS>BRACELETS	Jos Von Arx	leather, stainless steel	khaki		yes	Το μήκος προσαρμόζεται χάρη στο ρυθμιζόμενο μαγνητικό κούμπωμα. Συμπεριλαμβάνεται το ειδικό κατσαβιδάκι για την προσαρμογή.	Features a flexible magnetic clip to resize the bracelet. Special mini screwdriver for adjusting is included.	2 year	64		1	
INB06	JEWELLERY>MENS>BRACELETS	Jos Von Arx	leather, stainless steel	dark brown		yes	Το μήκος προσαρμόζεται χάρη στο ρυθμιζόμενο μαγνητικό κούμπωμα. Συμπεριλαμβάνεται το ειδικό κατσαβιδάκι για την προσαρμογή.	Features a flexible magnetic clip to resize the bracelet. Special mini screwdriver for adjusting is included.	3 year	64		1	
INB09	JEWELLERY>MENS>BRACELETS	Jos Von Arx	leather, stainless steel	blue		yes	Το μήκος προσαρμόζεται χάρη στο ρυθμιζόμενο μαγνητικό κούμπωμα. Συμπεριλαμβάνεται το ειδικό κατσαβιδάκι για την προσαρμογή.	Features a flexible magnetic clip to resize the bracelet. Special mini screwdriver for adjusting is included.	4 year	64		1	
INB22	JEWELLERY>MENS>BRACELETS	Jos Von Arx	leather, stainless steel	blue		yes	Το μήκος προσαρμόζεται χάρη στο ρυθμιζόμενο μαγνητικό κούμπωμα. Συμπεριλαμβάνεται το ειδικό κατσαβιδάκι για την προσαρμογή.	Features a flexible magnetic clip to resize the bracelet. Special mini screwdriver for adjusting is included.	5 year	74		1	
INB24	JEWELLERY>MENS>BRACELETS	Jos Von Arx	leather, stainless steel	black		yes	Το μήκος προσαρμόζεται χάρη στο ρυθμιζόμενο μαγνητικό κούμπωμα. Συμπεριλαμβάνεται το ειδικό κατσαβιδάκι για την προσαρμογή.	Features a flexible magnetic clip to resize the bracelet. Special mini screwdriver for adjusting is included.	6 year	74		2	
FUB01	JEWELLERY>MENS>BRACELETS	Jos Von Arx	leather, stainless steel	black		yes	Το μήκος προσαρμόζεται χάρη στο ρυθμιζόμενο μαγνητικό κούμπωμα. Συμπεριλαμβάνεται το ειδικό κατσαβιδάκι για την προσαρμογή.	Features a flexible magnetic clip to resize the bracelet. Special mini screwdriver for adjusting is included.	7 year	54		2	
FUB02	JEWELLERY>MENS>BRACELETS	Jos Von Arx	leather, stainless steel	brown		yes	Το μήκος προσαρμόζεται χάρη στο ρυθμιζόμενο μαγνητικό κούμπωμα. Συμπεριλαμβάνεται το ειδικό κατσαβιδάκι για την προσαρμογή.	Features a flexible magnetic clip to resize the bracelet. Special mini screwdriver for adjusting is included.	8 year	54		1	
FUB03	JEWELLERY>MENS>BRACELETS	Jos Von Arx	leather, stainless steel	black		yes	Το μήκος προσαρμόζεται χάρη στο ρυθμιζόμενο μαγνητικό κούμπωμα. Συμπεριλαμβάνεται το ειδικό κατσαβιδάκι για την προσαρμογή.	Features a flexible magnetic clip to resize the bracelet. Special mini screwdriver for adjusting is included.	9 year	74		1	
FUB41	JEWELLERY>MENS>BRACELETS	Jos Von Arx	leather, stainless steel pvd black	black		yes	Το μήκος προσαρμόζεται χάρη στο ρυθμιζόμενο μαγνητικό κούμπωμα. Συμπεριλαμβάνεται το ειδικό κατσαβιδάκι για την προσαρμογή.	Features a flexible magnetic clip to resize the bracelet. Special mini screwdriver for adjusting is included.	10 year	69		2	
FUB42	JEWELLERY>MENS>BRACELETS	Jos Von Arx	leather, stainless steel	dark brown		yes	Το μήκος προσαρμόζεται χάρη στο ρυθμιζόμενο μαγνητικό κούμπωμα. Συμπεριλαμβάνεται το ειδικό κατσαβιδάκι για την προσαρμογή.	Features a flexible magnetic clip to resize the bracelet. Special mini screwdriver for adjusting is included.	11 year	69		1	
WR02	ACCESSORIES>PENS	Jos Von Arx	Solid Brass with PVD plating	gray		yes	Σετ roller ball και ball point στυλό.	Rollerball and ballpoint pen set.	12 year	69		1	
IL01	ACCESSORIES>LEATHER WALLETS	Jos Von Arx	genuine italian leather	black	115Χ93mm	yes			13 year	59		1	
IL09	ACCESSORIES>LEATHER CARD HOLDERS	Jos Von Arx	genuine italian bovine leather	black	105Χ73mm	yes			14 year	44		1	
IL12	ACCESSORIES>LEATHER CARD HOLDERS	Jos Von Arx	genuine italian bovine leather	gray	105Χ73mm	yes			15 year	44		1	
IL23	ACCESSORIES>LEATHER WALLETS	Jos Von Arx	genuine italian leather, stainless steel	black	95Χ70mm	yes	Συμπεριλαμβάνεται χρηματοπιάστρα.	Money clip included.	16 year	44		1	
IL31	ACCESSORIES>LEATHER CARD HOLDERS	Jos Von Arx	genuine italian bovine leather	brown	105Χ73mm	yes			17 year	44		2	
IL35	ACCESSORIES>LEATHER WALLETS	Jos Von Arx	genuine italian leather, stainless steel	dark brown	95Χ70mm	yes	Συμπεριλαμβάνεται χρηματοπιάστρα.	Money clip included.	18 year	44		1	
IL79	ACCESSORIES>LEATHER WALLETS	Jos Von Arx	genuine italian bovine leather	dark brown	100Χ80mm	yes	Τύπου "slip card wallet".	Slim card wallet.	19 year	39		1	
PEN20	JEWELLERY>MENS>PENDANTS	Jos Von Arx	stainless steel with pvd plating	black		yes	Συμπεριλαμβάνεται η αλυσίδα.	Chain is included.	20 year	29		1	
PEN22	JEWELLERY>MENS>PENDANTS	Jos Von Arx	stainless steel with pvd plating			yes	Συμπεριλαμβάνεται η αλυσίδα.	Chain is included.	21 year	29		1	
CL09S-Blue	ACCESSORIES>CUFFLINKS	Jos Von Arx	Solid Brass with PVD plating	blue		yes			22 year	24		0	
CL38S	ACCESSORIES>CUFFLINKS	Jos Von Arx	Solid Brass with PVD plating			yes			23 year	29		1	
CL94S	ACCESSORIES>CUFFLINKS	Jos Von Arx	Solid Brass with PVD plating			yes			24 year	24		1	
CL107S	ACCESSORIES>CUFFLINKS	Jos Von Arx	Solid Brass with PVD plating			yes			25 year	24		1	
CL111S	ACCESSORIES>CUFFLINKS	Jos Von Arx	Solid Brass with PVD plating			yes			26 year	24		1	
CT08	ACCESSORIES>GIFT SETS	Jos Von Arx	Solid Brass with PVD plating			yes			27 year	44		1	
EX37	ACCESSORIES>GIFT SETS	Jos Von Arx	Solid Brass with PVD plating			yes			28 year	39		1	
SE46	ACCESSORIES>GIFT SETS	Jos Von Arx	genuine italian leather, Solid Brass with PVD plating			yes			29 year	99		1	
GL05BLK	ACCESSORIES>GIFT SETS	Jos Von Arx	leather			yes	Συμπεριλαμβάνονται τρία μπαλάκια golf.	Three quality golf balls included.	30 year	46		1	